,city,country,date,latitude,longitude,Maxtemperature,humidity,cloudiness,wind_speed
0,lithakia,GR,1533657483,37.72,20.83,85.43,75.0,0.0,9.73
1,tuktoyaktuk,CA,1533654000,69.44,-133.03,44.6,87.0,75.0,13.87
2,laguna,MX,1533653160,27.52,-110.01,82.4,65.0,20.0,3.36
3,bonavista,CA,1533657484,48.65,-53.11,64.55,85.0,80.0,9.62
4,dubrajpur,IN,1533657451,23.79,87.38,80.21,88.0,92.0,12.19
5,xinzhou,CN,1533657242,38.41,112.73,71.75,96.0,88.0,2.24
6,bluff,AU,1533657484,-23.58,149.07,45.02,55.0,0.0,3.91
7,mataura,NZ,1533657485,-46.19,168.86,37.82,87.0,92.0,2.24
8,lorengau,PG,1533657485,-2.02,147.27,80.12,100.0,8.0,3.69
9,bredasdorp,ZA,1533657485,-34.53,20.04,55.64,92.0,88.0,9.73
10,smithers,CA,1533654000,54.78,-127.17,59.0,58.0,75.0,1.9
11,kloulklubed,PW,1533653400,7.04,134.26,80.6,88.0,90.0,4.7
12,birjand,IR,1533657187,32.86,59.22,76.25,28.0,0.0,17.78
13,barrow,AR,1533657486,-38.31,-60.23,63.47,54.0,76.0,18.01
14,umzimvubu,,,,,,,,
15,qaanaaq,GL,1533657487,77.48,-69.36,38.72,91.0,76.0,5.14
16,busselton,AU,1533657487,-33.64,115.35,60.68,100.0,92.0,19.57
17,tsihombe,,,,,,,,
18,rocha,UY,1533657487,-34.48,-54.34,61.4,67.0,8.0,12.41
19,hasaki,JP,1533657488,35.73,140.83,79.4,95.0,76.0,17.22
20,bandarbeyla,SO,1533657488,9.49,50.81,81.56,85.0,12.0,30.98
21,ongandjera,NA,1533657488,-17.88,15.07,90.11,15.0,0.0,4.59
22,bolobo,CD,1533657489,-2.17,16.23,88.49,50.0,0.0,1.57
23,lapua,FI,1533657489,62.97,23.01,68.42,46.0,0.0,5.93
24,ushuaia,AR,1533654000,-54.81,-68.31,33.8,100.0,40.0,3.36
25,nikolskoye,RU,1533657489,59.7,30.79,67.88,59.0,80.0,9.73
26,port alfred,ZA,1533657490,-33.59,26.89,57.53,89.0,36.0,26.06
27,broken hill,AU,1533657490,-31.97,141.45,44.48,72.0,24.0,9.51
28,narsaq,GL,1533657490,60.91,-46.05,44.3,70.0,44.0,1.34
29,marzuq,YE,1533657490,14.4,46.47,79.85,43.0,80.0,4.14
30,vila franca do campo,PT,1533657490,37.72,-25.43,72.83,100.0,32.0,7.05
31,todos santos,MX,1533655500,23.45,-110.23,78.8,83.0,75.0,9.17
32,cidreira,BR,1533657491,-30.17,-50.22,65.63,86.0,0.0,8.61
33,longyearbyen,NO,1533657491,78.22,15.63,46.64,82.0,76.0,2.35
34,vaitupu,,,,,,,,
35,grand gaube,MU,1533657492,-20.01,57.66,73.55,100.0,12.0,13.65
36,illoqqortoormiut,,,,,,,,
37,axim,GH,1533657492,4.87,-2.24,77.24,99.0,64.0,14.76
38,salalah,OM,1533657492,17.01,54.1,78.23,93.0,8.0,10.85
39,norman wells,CA,1533654000,65.28,-126.83,53.6,87.0,75.0,4.7
40,camapua,BR,1533657493,-19.53,-54.04,76.43,72.0,12.0,7.61
41,rorvik,NO,1533657493,64.86,11.24,63.29,84.0,12.0,3.13
42,san carlos de bariloche,AR,1533657385,-41.13,-71.31,34.04,85.0,0.0,2.13
43,jamestown,AU,1533657493,-33.21,138.6,47.72,75.0,0.0,17.0
44,waipawa,NZ,1533657494,-39.94,176.59,40.7,81.0,0.0,4.7
45,cody,US,1533653760,44.53,-109.06,68.0,34.0,1.0,6.93
46,tasiilaq,GL,1533657494,65.61,-37.64,41.69,100.0,12.0,1.9
47,lompoc,US,1533656100,34.64,-120.46,68.0,48.0,1.0,9.84
48,husavik,CA,1533657495,50.56,-96.99,71.57,86.0,0.0,11.07
49,georgetown,GY,1533654000,6.8,-58.16,87.8,66.0,75.0,6.93
50,castro,CL,1533657496,-42.48,-73.76,44.75,99.0,48.0,3.47
51,punta arenas,CL,1533654300,-53.16,-70.91,32.0,100.0,90.0,4.7
52,taolanaro,,,,,,,,
53,mys shmidta,,,,,,,,
54,cabo san lucas,MX,1533655500,22.89,-109.91,77.0,83.0,75.0,9.17
55,atuona,PF,1533657497,-9.8,-139.03,79.22,100.0,76.0,20.24
56,kaeo,NZ,1533657497,-35.1,173.78,47.45,80.0,80.0,5.93
57,plymouth,GB,1533657240,50.37,-4.14,68.33,74.0,12.0,11.18
58,cockburn harbour,,,,,,,,
59,abu samrah,SY,1533657498,35.3,37.18,91.73,37.0,0.0,15.32
60,hobart,AU,1533657413,-42.88,147.33,47.27,72.0,68.0,9.17
61,khatanga,RU,1533657499,71.98,102.47,50.15,84.0,32.0,4.92
62,ati,TD,1533657499,13.21,18.34,94.07,44.0,36.0,10.4
63,codrington,AU,1533657499,-28.95,153.24,45.2,69.0,0.0,4.36
64,vaini,IN,1533657499,15.34,74.49,69.05,98.0,92.0,6.49
65,cape town,ZA,1533657377,-33.93,18.42,53.84,100.0,80.0,0.89
66,souillac,FR,1533657500,45.6,-0.6,82.73,59.0,36.0,15.21
67,upernavik,GL,1533657500,72.79,-56.15,42.86,85.0,92.0,2.57
68,shorewood,US,1533656100,43.09,-87.89,75.2,88.0,90.0,4.7
69,high level,CA,1533654000,58.52,-117.13,66.2,63.0,75.0,5.37
70,saint-philippe,CA,1533656340,45.36,-73.48,77.0,88.0,90.0,9.17
71,alofi,NU,1533657501,-19.06,-169.92,73.46,100.0,0.0,12.75
72,cherskiy,RU,1533657501,68.75,161.3,35.48,93.0,0.0,6.04
73,egvekinot,RU,1533657502,66.32,-179.17,43.67,96.0,92.0,3.13
74,mogok,MM,1533657502,22.92,96.51,70.13,99.0,24.0,0.89
75,mangai,CD,1533657502,-4.07,19.59,94.52,28.0,0.0,1.9
76,paamiut,GL,1533657503,61.99,-49.67,47.9,78.0,92.0,22.93
77,hithadhoo,MV,1533657503,-0.6,73.08,82.37,100.0,48.0,6.6
78,half moon bay,US,1533656400,37.46,-122.43,62.6,87.0,90.0,6.93
79,kamenskoye,,,,,,,,
80,tiksi,RU,1533657504,71.64,128.87,49.52,83.0,0.0,6.6
81,deputatskiy,RU,1533657504,69.3,139.9,41.15,84.0,0.0,5.03
82,amderma,,,,,,,,
83,nizhneyansk,,,,,,,,
84,airai,TL,1533657504,-8.93,125.41,62.93,84.0,0.0,1.68
85,muravlenko,RU,1533657505,63.79,74.5,56.27,85.0,68.0,18.68
86,tura,IN,1533657505,25.52,90.21,79.4,93.0,44.0,2.35
87,hermanus,ZA,1533657505,-34.42,19.24,46.55,100.0,56.0,2.91
88,lezajsk,PL,1533657505,50.26,22.42,77.42,71.0,0.0,4.47
89,barentsburg,,,,,,,,
90,aksu,KZ,1533657506,52.04,76.93,69.5,53.0,68.0,5.7
91,dikson,RU,1533657506,73.51,80.55,50.33,77.0,80.0,18.45
92,brae,GB,1533657507,60.4,-1.35,58.61,90.0,92.0,15.55
93,east london,ZA,1533657507,-33.02,27.91,62.3,100.0,8.0,32.55
94,sungaipenuh,ID,1533657507,-2.08,101.38,67.52,96.0,92.0,1.45
95,rikitea,PF,1533657507,-23.12,-134.97,73.19,100.0,32.0,2.35
96,may pen,JM,1533654000,17.97,-77.26,91.4,63.0,20.0,23.04
97,taoudenni,ML,1533657508,22.68,-3.98,110.0,18.0,12.0,4.7
98,butaritari,KI,1533657508,3.07,172.79,79.76,100.0,56.0,6.15
99,cayenne,GF,1533655800,4.94,-52.33,87.8,66.0,44.0,13.87
100,meyungs,,,,,,,,
101,chumikan,RU,1533657509,54.72,135.31,54.92,84.0,0.0,2.68
102,broome,GB,1533657509,52.47,1.45,86.42,37.0,20.0,9.4
103,lolua,,,,,,,,
104,trairi,BR,1533657244,-3.28,-39.27,78.68,100.0,48.0,21.14
105,provideniya,RU,1533657509,64.42,-173.23,49.34,100.0,76.0,10.85
106,new norfolk,AU,1533657510,-42.78,147.06,45.92,80.0,64.0,12.86
107,temaraia,,,,,,,,
108,ewa beach,US,1533653820,21.32,-158.01,80.6,69.0,1.0,4.7
109,hilo,US,1533653760,19.71,-155.08,73.4,73.0,90.0,3.36
110,bethel,US,1533655740,60.79,-161.76,51.8,100.0,90.0,10.29
111,araouane,ML,1533657511,18.9,-3.53,102.17,40.0,24.0,3.69
112,attawapiskat,,,,,,,,
113,dvinskoy,RU,1533657511,62.16,45.12,55.55,74.0,8.0,8.72
114,pisco,PE,1533654000,-13.71,-76.2,62.6,77.0,90.0,8.05
115,urdoma,RU,1533657512,61.74,48.55,63.02,58.0,88.0,9.51
116,wuan,CN,1533657512,31.68,112,83.99,74.0,0.0,5.82
117,meulaboh,ID,1533657512,4.14,96.13,79.22,100.0,48.0,3.02
118,illela,NG,1533657513,12.25,4.3,82.46,87.0,32.0,11.18
119,vung tau,VN,1533657513,10.35,107.08,76.7,100.0,92.0,12.75
120,kabalo,CD,1533657513,-6.05,26.92,94.52,27.0,0.0,3.91
121,alzamay,RU,1533657513,55.55,98.67,56.18,71.0,56.0,4.59
122,salinas,US,1533656160,36.67,-121.66,62.6,100.0,90.0,2.68
123,yellowknife,CA,1533654000,62.45,-114.38,59.0,77.0,75.0,11.41
124,camacha,PT,1533657514,33.08,-16.33,72.47,99.0,36.0,21.47
